city,state_name,lat,lng, population , population_proper ,density
Sutton,Nebraska,40.6064,-97.8795,1411,1411,273
Richland,Georgia,32.0885,-84.6625,1411,1411,170
Dunlap,Illinois,40.8513,-89.672,1412,1412,332
Culver,Indiana,41.2157,-86.4234,1412,1412,531
Woodbine,Iowa,41.7346,-95.7067,1412,1412,426
Waverly,Minnesota,45.0649,-93.9663,1412,1412,313
Sundown,Texas,33.4575,-102.4908,1413,1413,358
Millbrook,New York,41.7841,-73.694,1413,1413,282
Brooklyn,Iowa,41.7314,-92.4453,1413,1413,434
Robersonville,North Carolina,35.8248,-77.2529,1414,1414,445
